"rule","regime","d_growth","V7"
1,"exponential",5.845396614608859,13123
2,"exponential",3.778310234155373,1023
3,"exponential",,
4,"exponential",3.7193953138032385,1024
5,"exponential",,
6,"exponential",3.719395313803244,512
7,"exponential",3.719395313803244,512
8,"exponential",5.895102097736149,24057
9,"exponential",,
10,"exponential",5.895102097736127,26244
11,"exponential",3.7193953138032385,768
12,"exponential",5.895102097736138,19683
13,"exponential",,
14,"exponential",3.7193953138032385,1024
15,"exponential",5.895102097736138,19683
16,"exponential",,
17,"exponential",,
18,"exponential",,
19,"exponential",5.895102097736138,19683
20,"exponential",3.719395313803244,512
21,"exponential",5.895102097736127,26244
22,"exponential",3.719395313803244,512
23,"exponential",5.895102097736127,26244
24,"exponential",3.7193953138032385,768
25,"exponential",5.895102097736127,26244
26,"exponential",3.778310234155373,1023
27,"exponential",3.719395313803244,512
28,"exponential",3.778310234155373,1023
29,"exponential",3.719395313803244,512
30,"exponential",5.895102097736138,19683
31,"exponential",,
32,"exponential",5.895102097736138,19683
33,"exponential",5.895102097736138,19683
34,"exponential",3.7193953138032385,1024
35,"exponential",3.7193953138032385,1024
36,"exponential",5.895102097736127,26244
37,"exponential",5.895102097736127,26244
38,"exponential",5.895102097736127,26244
39,"exponential",,
40,"exponential",,
41,"~2D",1.4698432211455903,30
42,"trivial",0,3
43,"trivial",0,2
44,"~1D",0.8325254312006101,20
45,"~1D",0.9080345039055499,19
46,"trivial",0,4
47,"exponential",2.895563988279485,277
48,"trivial",0,3
49,"exponential",3.719395313803249,1152
50,"trivial",0,2
51,"~1D",0.9080345039055499,19
52,"trivial",0,2
53,"exponential",0.7711711423872488,14
54,"exponential",3.719395313803244,512
55,"~1D",0.4264457094699692,16
56,"exponential",3.719395313803244,512
57,"exponential",3.778310234155373,1023
58,"trivial",0,3
59,"trivial",0,2
60,"trivial",0,2
61,"exponential",3.460535849767089,383
62,"trivial",0,7
63,"exponential",1.9861728237934495,37
64,"~1D",1.0540952020745307,35
65,"trivial",0,3
66,"~1D",0.9080345039055499,19
67,"trivial",0,1
68,"~1D",0.7152938759955432,11
69,"trivial",0,2
70,"~1D",0.7152938759955432,11
71,"trivial",0,4
72,"exponential",3.0934971907928914,409
73,"~1D",0.9080345039055499,19
74,"exponential",1.6078363795376442,24
75,"~1D",0.8325254312006101,10
76,"~1D",0.7692300815807225,21
77,"~2D",1.6476020283960744,43
78,"~2D",2.0009019738931912,91
79,"exponential",2.4751403767189424,172
80,"trivial",0,4
81,"exponential",,
82,"exponential",5.895102097736138,19683
83,"exponential",3.7193953138032385,1024
84,"exponential",5.906518334682547,29524
85,"exponential",5.895102097736127,28431
86,"exponential",3.7193953138032385,1024
87,"exponential",5.906518334682547,29524
88,"exponential",,
89,"exponential",5.895102097736127,26244
90,"exponential",5.906518334682547,29524
91,"exponential",3.7193953138032385,896
92,"exponential",5.895102097736138,19683
93,"exponential",5.906518334682547,29524
94,"exponential",5.877253903310067,18590
95,"exponential",5.906518334682547,29524
96,"exponential",5.86167157389541,9842
97,"exponential",,
98,"exponential",3.7193953138032385,768
99,"exponential",3.719395313803244,512
100,"exponential",,
101,"exponential",3.719395313803244,512
102,"exponential",,
103,"exponential",3.7193953138032385,1024
104,"exponential",5.895102097736127,26244
105,"exponential",3.719395313803244,640
106,"exponential",3.7193953138032385,1024
107,"exponential",5.906518334682547,29524
108,"exponential",3.778310234155373,1023
109,"exponential",3.7193953138032385,768
110,"exponential",,
111,"exponential",3.7193953138032385,768
112,"exponential",5.895102097736138,19683
113,"exponential",3.719395313803244,512
114,"exponential",3.7193953138032385,1024
115,"exponential",,
116,"exponential",3.7193953138032385,768
117,"exponential",,
118,"exponential",5.895102097736138,19683
119,"exponential",,
120,"exponential",,
121,"~1D",1.2645842629087884,16
122,"trivial",0,5
123,"~1D",1.110918216341444,29
124,"trivial",0,4
125,"exponential",1.981639558457378,81
126,"exponential",2.4139987334101813,222
127,"exponential",2.5333850673249496,217
128,"trivial",0,3
129,"~1D",0.9365959195606496,28
130,"trivial",0,5
131,"exponential",2.3184024505470036,256
132,"trivial",0,7
133,"trivial",0,7
134,"~2D",1.5354008299021844,37
135,"exponential",2.568186706376481,120
136,"exponential",3.778310234155373,1023
137,"exponential",2.851980040481601,315
138,"trivial",0,3
139,"trivial",0,4
140,"~1D",0.9365959195606496,28
141,"exponential",3.3474078249541934,551
142,"trivial",0,2
143,"exponential",3.5523800133924253,483
144,"-Which-",2.624184052571938e-15,10
145,"trivial",0,5
146,"~1D",1.115086507483186,17
147,"exponential",3.3705567238314043,566
148,"~1D",0.9080345039055499,19
149,"~1D",0.8325254312006101,10
150,"~2D",2.1346487338705775,169
151,"exponential",2.6987444743484463,271
152,"trivial",0,7
153,"-Which-",2.624184052571938e-15,10
154,"exponential",2.247178562890646,135
155,"trivial",0,5
156,"trivial",0,1
157,"trivial",0,3
158,"~1D",0.8325254312006101,20
159,"trivial",0,3
160,"trivial",0,3
